dataset	n_samples	median_cibersortx_correlation	median_cibersortx_rmse	fraction_p_le_005
GSE15471	72	0.778168279602807	0.746537919389088	1
GSE16515	52	0.81401924646103	0.685751201409162	1
GSE28735	90	0.787834959871371	0.701974808138257	1
GSE62165	131	0.795141323558116	0.683306889013895	1
GSE71989	21	0.795288130819676	0.671009976306408	1
GSE91035	48	0.793549837775172	0.708289771037675	1
