compartment	marker_signature	n_datasets	median_rho	min_rho	max_rho	positive_fraction	fisher_z_weighted_rho
acinar	acinar_pancreas	6	0.95509993615005	0.875609010130071	0.987172369615118	1	0.97247858401722
fibroblast_stromal	stromal_caf	6	0.930910664265158	0.897434221602733	0.951476335214937	1	0.929441894861018
immune	immune_pan	6	0.87486327067284	0.775124112528693	0.934465238922117	1	0.864072807739506
endothelial	endothelial	6	0.662932647305235	0.430633955709944	0.803896103896104	1	0.650100938718872
ductal	ductal_epithelial	6	-0.271802408235602	-0.321532982206517	0.0138778326829164	0.166666666666667	-0.204511926891941
