group	gene	mean_expression	fraction_expressing	n_cells
Cancer-associated fibroblast	NPR3	0.0713	0.0464	496
Cancer-associated fibroblast	NR3C2	0.2487	0.1452	496
Cancer-associated fibroblast	OXSR1	0.364	0.2218	496
Cancer-associated fibroblast	PRKAR2B	0.0673	0.0403	496
Cancer-associated fibroblast	PRKCI	0.3796	0.2298	496
Cancer-associated fibroblast	PRKCQ	0.0101	0.006	496
Cancer-associated fibroblast	PSMB3	0.0399	0.0262	496
Cancer-associated fibroblast	PTPRS	0.4419	0.244	496
Cancer-associated fibroblast	SGIP1	0.7566	0.3427	496
Cancer-associated fibroblast	SLC39A8	0.0544	0.0383	496
Cancer-associated fibroblast	SLC44A1	0.6192	0.3286	496
Cancer-associated fibroblast	SLC6A6	0.3644	0.1673	496
Cancer-associated fibroblast	SSH1	0.558	0.3125	496
Cancer-associated fibroblast	TANC2	1.4923	0.6109	496
Cancer-associated fibroblast	TMC5	0.0088	0.004	496
Cancer-associated fibroblast	WNT5A	0.1612	0.0907	496
Cancer-associated fibroblast	ZDHHC7	0.0755	0.0524	496
Myeloid	ASAP2	0.0095	0.01	100
Myeloid	COL12A1	0.0	0.0	100
Myeloid	LY75	0.0	0.0	100
Myeloid	SLC6A14	0.0	0.0	100
Myeloid	ALDH1A1	0.0501	0.02	100
Myeloid	ALDH1L2	0.0372	0.02	100
Myeloid	CAST	0.6946	0.38	100
Myeloid	CHAD	0.0306	0.02	100
Myeloid	CITED2	0.0708	0.03	100
