sample	schema	purist_linear_score	purist_probability_basal	purist_subtype	purist_graded_call	TSP1	TSP2	TSP3	TSP4	TSP5	TSP6	TSP7	TSP8
TCGA-2L-AAQM-01	PurIST_Moffitt_tumor_intrinsic	-3.216	0.0385680342103302	classical	strong_classical	0	0	1	1	1	0	0	0
TCGA-HV-A5A3-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-HV-AA8V-01	PurIST_Moffitt_tumor_intrinsic	-0.867	0.295878922796159	classical	lean_classical	1	0	1	1	0	1	0	1
TCGA-IB-AAUQ-01	PurIST_Moffitt_tumor_intrinsic	1.675	0.84224131298103	basal_like	lean_basal_like	0	1	1	1	0	1	1	1
TCGA-FB-AAQ1-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-IB-AAUV-01	PurIST_Moffitt_tumor_intrinsic	-3.377	0.0330220555101428	classical	strong_classical	0	1	0	1	0	0	0	1
TCGA-2J-AAB4-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-FB-A7DR-01	PurIST_Moffitt_tumor_intrinsic	-2.274	0.0932992832110751	classical	strong_classical	1	0	1	0	0	1	0	0
TCGA-3A-A9IZ-01	PurIST_Moffitt_tumor_intrinsic	-2.861	0.0541154906475125	classical	strong_classical	0	0	1	1	0	1	0	1
TCGA-3A-A9I7-01	PurIST_Moffitt_tumor_intrinsic	0.746	0.678306495241819	basal_like	lean_basal_like	0	1	1	1	0	0	1	1
TCGA-2J-AABO-01	PurIST_Moffitt_tumor_intrinsic	-1.752	0.147795117106519	classical	lean_classical	0	1	1	0	0	1	0	1
TCGA-RB-AA9M-01	PurIST_Moffitt_tumor_intrinsic	0.679	0.66351547123322	basal_like	lean_basal_like	1	1	1	1	0	1	0	0
TCGA-IB-7647-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-3A-A9IX-01	PurIST_Moffitt_tumor_intrinsic	-4.479	0.0112174925625817	classical	strong_classical	0	0	0	1	0	1	0	1
TCGA-IB-AAUU-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-H6-A45N-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-IB-7889-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-HZ-8638-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-IB-AAUS-01	PurIST_Moffitt_tumor_intrinsic	-3.37	0.0332463088394741	classical	strong_classical	0	1	0	0	0	1	0	1
TCGA-FB-AAQ2-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-RB-A7B8-01	PurIST_Moffitt_tumor_intrinsic	-2.692	0.0634470714403418	classical	strong_classical	0	0	1	0	0	0	1	0
TCGA-US-A77J-01	PurIST_Moffitt_tumor_intrinsic	0.0199999999999996	0.50499983334	basal_like	lean_basal_like	1	0	0	1	0	1	1	1
TCGA-F2-A44G-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-IB-8126-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-IB-7885-01	PurIST_Moffitt_tumor_intrinsic	0.716	0.671725582405139	basal_like	lean_basal_like	1	0	1	0	0	1	1	1
TCGA-HZ-A77O-01	PurIST_Moffitt_tumor_intrinsic	0.753	0.679832032476445	basal_like	lean_basal_like	0	1	1	0	0	1	1	1
TCGA-S4-A8RP-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-8637-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-US-A774-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-HV-AA8X-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-S4-A8RO-01	PurIST_Moffitt_tumor_intrinsic	-2.207	0.0991236456326072	classical	strong_classical	0	0	1	0	0	0	1	1
TCGA-IB-AAUN-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-LB-A7SX-01	PurIST_Moffitt_tumor_intrinsic	-0.454	0.38841015217938	classical	lean_classical	1	1	0	1	0	1	0	1
TCGA-Z5-AAPL-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-IB-7649-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-YH-A8SY-01	PurIST_Moffitt_tumor_intrinsic	2.747	0.939743697322093	basal_like	strong_basal_like	1	1	1	0	0	1	1	1
TCGA-2J-AABT-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-FB-A545-01	PurIST_Moffitt_tumor_intrinsic	2.697	0.936849388542495	basal_like	strong_basal_like	1	0	1	1	1	1	1	1
TCGA-HV-A5A4-01	PurIST_Moffitt_tumor_intrinsic	-3.825	0.0213525561610206	classical	strong_classical	0	0	0	0	0	0	1	1
TCGA-FB-A78T-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-2J-AAB9-01	PurIST_Moffitt_tumor_intrinsic	0.0570000000000004	0.514246143065613	basal_like	lean_basal_like	0	1	0	1	0	1	1	1
TCGA-3A-A9IB-01	PurIST_Moffitt_tumor_intrinsic	0.192	0.547853085561628	basal_like	lean_basal_like	1	0	1	1	1	1	0	1
TCGA-FB-A4P5-01	PurIST_Moffitt_tumor_intrinsic	-1.752	0.147795117106519	classical	lean_classical	0	1	1	0	0	1	0	1
TCGA-HZ-8317-01	PurIST_Moffitt_tumor_intrinsic	-4.784	0.0082931308919222	classical	strong_classical	0	1	0	0	0	0	0	0
TCGA-HZ-A49H-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-3A-A9IH-01	PurIST_Moffitt_tumor_intrinsic	-0.83	0.303645070176166	classical	lean_classical	0	1	1	1	0	1	0	1
TCGA-IB-7888-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-XD-AAUG-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-FB-AAQ3-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HV-A5A6-01	PurIST_Moffitt_tumor_intrinsic	-4.964	0.006936481298717	classical	strong_classical	0	0	0	1	0	1	0	0
TCGA-HZ-8003-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-IB-7644-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-3A-A9IR-01	PurIST_Moffitt_tumor_intrinsic	-3.216	0.0385680342103302	classical	strong_classical	0	0	1	1	1	0	0	0
TCGA-IB-7651-01	PurIST_Moffitt_tumor_intrinsic	-3.346	0.0340263937792707	classical	strong_classical	0	0	1	1	0	1	0	0
TCGA-IB-A5SS-01	PurIST_Moffitt_tumor_intrinsic	2.223	0.90229598889153	basal_like	strong_basal_like	1	1	1	1	1	1	0	1
TCGA-IB-A5ST-01	PurIST_Moffitt_tumor_intrinsic	-1.315	0.211651365991901	classical	lean_classical	0	1	1	1	0	1	0	0
TCGA-IB-AAUO-01	PurIST_Moffitt_tumor_intrinsic	2.747	0.939743697322093	basal_like	strong_basal_like	1	1	1	0	0	1	1	1
TCGA-LB-A8F3-01	PurIST_Moffitt_tumor_intrinsic	-4.31	0.0132554814270988	classical	strong_classical	0	0	0	0	0	0	1	0
TCGA-Q3-AA2A-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-IB-AAUW-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-LB-A9Q5-01	PurIST_Moffitt_tumor_intrinsic	-1.178	0.235411992093109	classical	lean_classical	0	1	1	0	1	1	0	0
TCGA-3A-A9IN-01	PurIST_Moffitt_tumor_intrinsic	-3.216	0.0385680342103302	classical	strong_classical	0	0	1	1	1	0	0	0
TCGA-FB-AAPS-01	PurIST_Moffitt_tumor_intrinsic	-1.789	0.143195370165084	classical	lean_classical	1	0	1	0	0	1	0	1
TCGA-IB-7887-01	PurIST_Moffitt_tumor_intrinsic	-2.485	0.0769164487674361	classical	strong_classical	1	0	0	1	0	1	0	1
TCGA-3A-A9IC-01	PurIST_Moffitt_tumor_intrinsic	-3.346	0.0340263937792707	classical	strong_classical	0	0	1	1	0	1	0	0
TCGA-HV-A5A5-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-7922-01	PurIST_Moffitt_tumor_intrinsic	-3.346	0.0340263937792707	classical	strong_classical	0	0	1	1	0	1	0	0
TCGA-YY-A8LH-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-2J-AABR-01	PurIST_Moffitt_tumor_intrinsic	2.051	0.886048624164585	basal_like	lean_basal_like	1	1	0	1	0	1	1	1
TCGA-HZ-7924-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-RL-AAAS-01	PurIST_Moffitt_tumor_intrinsic	-4.479	0.0112174925625817	classical	strong_classical	0	0	0	1	0	1	0	1
TCGA-3A-A9IV-01	PurIST_Moffitt_tumor_intrinsic	-3.216	0.0385680342103302	classical	strong_classical	0	0	1	1	1	0	0	0
TCGA-2J-AABP-01	PurIST_Moffitt_tumor_intrinsic	2.697	0.936849388542495	basal_like	strong_basal_like	1	0	1	1	1	1	1	1
TCGA-HZ-8636-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-A49G-01	PurIST_Moffitt_tumor_intrinsic	-5.886	0.00277037049485031	classical	strong_classical	0	0	0	0	0	1	0	0
TCGA-XD-AAUH-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-H6-8124-01	PurIST_Moffitt_tumor_intrinsic	2.697	0.936849388542495	basal_like	strong_basal_like	1	0	1	1	1	1	1	1
