gene	depmap_expression_col	n_all_expression	n_pancreas_expression	mean_expression_all	mean_expression_pancreas	pancreas_expression_percentile	depmap_crispr_col	n_all_crispr	n_pancreas_crispr	median_gene_effect_all	median_gene_effect_pancreas	n_pancreas_strong_dependency_lt_minus1	n_pancreas_dependency_lt_minus05	depmap_expression_status	depmap_crispr_status
KRT15	KRT15 (3866)	1775.0	58.0	2.210068892833803	3.69286648137931	0.7656338028169014	KRT15 (3866)	1208.0	48.0	-0.0873790293154581	-0.0656648128376892	0.0	0.0	matched	matched
CTTN	CTTN (2017)	1775.0	58.0	6.464876471704225	7.503030172413793	0.7391549295774648	CTTN (2017)	1208.0	48.0	-0.1620545650648392	-0.1863467211002639	0.0	1.0	matched	matched
SELK														not_found	not_found
IYD	IYD (389434)	1775.0	58.0	0.1868636153307042	0.2604166442758621	0.8907042253521127	IYD (389434)	1208.0	48.0	-0.0146878566344958	-0.0514473984954193	0.0	0.0	matched	matched
PDK4	PDK4 (5166)	1775.0	58.0	1.136560707815775	2.097919703517241	0.8078873239436619	PDK4 (5166)	1208.0	48.0	0.0537393232795509	0.0914037505099986	0.0	0.0	matched	matched
KCNE3	KCNE3 (10008)	1775.0	58.0	0.9442326648377464	1.324096309137931	0.7814084507042254	KCNE3 (10008)	1208.0	48.0	-0.0714551589155835	-0.0341648726377776	0.0	0.0	matched	matched
BICD1	BICD1 (636)	1775.0	58.0	3.8694324324676055	3.62976096724138	0.3853521126760563	BICD1 (636)	1208.0	48.0	-0.1327729633060294	-0.1654119784230024	0.0	1.0	matched	matched
NR5A2	NR5A2 (2494)	1775.0	58.0	0.6226154734963381	1.4906997318965518	0.8630985915492958	NR5A2 (2494)	1208.0	48.0	-0.0319971783556315	-0.0316824215398563	0.0	0.0	matched	matched
INSIG1	INSIG1 (3638)	1775.0	58.0	5.658759503628169	5.233171522413793	0.3718309859154929	INSIG1 (3638)	1208.0	48.0	0.025446794164007	0.0152800556008359	0.0	0.0	matched	matched
HBA2	HBA2 (3040)	1775.0	58.0	0.808558879870986	0.4217578793103448	0.6107042253521127								matched	not_found
